镜头号,起始时间,结束时间,时长(s),景别,运镜,场景ID,场景地点,角色,台词,画面描述,情绪,叙事功能
shot_0001,00:00:00,00:00:03,3.0,中景,固定,S01,景山·歪脖子树,王承恩/崇祯皇帝,王承恩: 恭送大明皇帝上路,王承恩手捧皇冠跪地哭喊，身后是吊死的皇帝,悲恸/绝望,冲突
shot_0002,00:00:03,00:00:07,4.634,特写,固定,S01,景山·歪脖子树,王承恩,,王承恩面部特写，满脸泪水表情痛苦,极度悲伤,过渡
shot_0003,00:00:07,00:00:08,1.033,全景,固定,S01,景山·歪脖子树,崇祯皇帝,,电闪雷鸣下，崇祯皇帝自缢于歪脖子树上,凄凉/震撼,铺垫
shot_0004,00:00:08,00:00:13,4.867,近景,固定,S01,景山·歪脖子树,崇祯皇帝,,崇祯皇帝被吊起的近景，头部散发出蓝色魂光,诡异/悲剧,转折
shot_0005,00:00:13,00:00:15,2.434,近景,固定,S01,景山·歪脖子树,崇祯皇帝,,崇祯皇帝的魂魄显现，俯视自己的尸身,迷茫/惊愕,转折
shot_0006,00:00:15,00:00:16,0.867,中景,固定,S01,景山·歪脖子树,崇祯皇帝,,崇祯魂魄看着自己的双手，身体呈半透明蓝光,难以置信,过渡
shot_0007,00:00:16,00:00:17,0.767,全景,拉,S01,景山·歪脖子树,崇祯皇帝,,崇祯魂魄站在树下，背景是阴云密布的京城,凄凉,铺垫
shot_0008,00:00:17,00:00:20,2.734,全景,摇,S02,紫禁城·大殿,士兵,,闯军士兵在金銮殿内肆意破坏和抢掠,混乱,铺垫
shot_0009,00:00:20,00:00:23,3.3,全景,推,S02,紫禁城·太和殿,李自成,,李自成坐在龙椅上仰天狂笑,狂妄,冲突
shot_0010,00:00:23,00:00:29,5.5,远景,跟,S03,荒野/关外,清军,,清朝骑兵方阵在大地上奔袭，尘土飞扬,肃杀,铺垫
shot_0011,00:00:29,00:00:29,0.833,全景,固定,S04,朝堂,崇祯皇帝/大臣,,众大臣在朝堂上向皇帝跪拜，显得死气沉沉,压抑,过渡
shot_0012,00:00:29,00:00:31,1.667,全景,固定,S04,朝堂,崇祯皇帝/大臣,崇祯皇帝: 朕看了三百年,皇帝端坐上方，下方大臣跪地不起,悲凉/反思,铺垫
shot_0013,00:00:31,00:00:33,1.633,近景,固定,S04,朝堂,大臣,,跪着的大臣们背影，手中举着奏章,虚伪,过渡
shot_0014,00:00:33,00:00:34,1.667,中景,固定,S04,朝堂,内监/大臣,崇祯皇帝: 什么都做不了,仆役抬着沉重的财宝箱在大臣面前走过,讽刺,铺垫
shot_0015,00:00:34,00:00:37,3.034,中景,固定,S04,朝堂,崇祯皇帝,,崇祯魂魄在大殿中愤怒控诉，满脸怒容,愤怒,冲突
shot_0016,00:00:37,00:00:38,0.8,中景,固定,S05,宫外平地,被俘皇族/士兵,,一名身着黄袍的男子被两名士兵强行拖走,屈辱,铺垫
shot_0017,00:00:38,00:00:40,1.667,中景,固定,S05,战场碎片,受伤将领,,受伤的明军将领在尸横遍野的战场上站立,惨烈,铺垫
shot_0018,00:00:40,00:00:41,0.833,中景,固定,S05,刑场,死囚,,一名背后插着死罪牌的男子正在愤怒咆哮,不甘,铺垫
shot_0019,00:00:41,00:00:42,0.8,特写,移,S06,地图,,,镜头扫过明末清初割据势力的地图板块,沉重,过渡
shot_0020,00:00:42,00:00:48,6.4,特写,固定,S07,虚幻时空,崇祯皇帝,[待确认]: 陛下,崇祯魂魄面部特写，神情从悲愤转为恍惚,迷茫,转折
shot_0021,00:00:48,00:00:53,5.4,中景,固定,S07,虚幻时空,崇祯皇帝,[待确认]: 陛下 | [待确认]: 陛下,崇祯魂魄跪在巨大的金色时钟前，背景有时空裂隙,渺小/无力,铺垫
shot_0022,00:00:53,00:00:57,3.3,中景,固定,S07,虚幻时空,崇祯皇帝,[待确认]: 陛下 | [待确认]: 陛下,崇祯仰天长啸，双臂张开，巨大的时钟在身后旋转,爆发/痛苦,高潮
shot_0023,00:00:57,00:00:58,1.233,特写,固定,S07,虚幻时空,,[待确认]: 陛下,时钟指针中心发出耀眼白光，伴随雷电特效,震撼,过渡
shot_0024,00:00:58,00:00:59,1.533,远景,固定,S07,虚幻时空,崇祯皇帝,,极远景下，崇祯一人立于虚无的白光地平线上,孤独,收束
shot_0025,00:00:59,00:01:02,2.467,中景,固定,S08,寝宫,,[待确认]: 陛下 | [待确认]: 陛下醒醒,寝宫天花板的盘龙浮雕，伴随轻烟缭绕,苏醒/宁静,钩子
shot_0026,00:01:02,00:01:04,2.4,近景,固定,S01,皇宫·寝殿,朱由检/玉凤,,女子在床边担忧地看着昏睡的皇帝,忧虑,铺垫
shot_0027,00:01:04,00:01:05,0.9,特写,固定,S01,皇宫·寝殿,朱由检/玉凤,,朱由检从噩梦中惊醒，神情惊恐,惊恐,冲突
shot_0028,00:01:05,00:01:11,5.534,近景,固定,S01,皇宫·寝殿,朱由检/玉凤,,朱由检惊魂未定地看着身旁的女子,迷茫,过渡
shot_0029,00:01:11,00:01:12,1.133,中景,固定,S01,皇宫·寝殿,朱由检/玉凤,,玉凤轻声安慰惊恐的朱由检,哀婉,过渡
shot_0030,00:01:12,00:01:13,0.933,中景,固定,S01,皇宫·寝殿,朱由检/玉凤,,朱由检低头看着自己的双手，神情复杂,疑惑,过渡
